station_code,lowest_name
27110136,하서동
27110137,남성로
27110138,계산동1가
27110139,계산동2가
27110140,동산동
27110141,서문로2가
27110142,서성로2가
27110143,포정동
27110144,서문로1가
27110145,서내동
27110146,북성로2가
27110147,대안동
27110148,동성로1가
27110149,태평로2가
27110150,북성로1가
27110151,화전동
27110152,향촌동
27110153,북내동
27110154,대신동
27110155,달성동
27110156,남산동
27110157,대봉동
27140000,동구
27140101,신암동
27140102,신천동
27140103,효목동
27140104,평광동
27140105,봉무동
27140106,불로동
27140107,도동
27140108,지저동
27140109,입석동
27140110,검사동
27140111,방촌동
27140112,둔산동
27140113,부동
27140114,신평동
27140115,서호동
27140116,동호동
27140117,신기동
27140118,율하동
27140119,용계동
27140120,율암동
27140121,상매동
27140122,매여동
27140123,각산동
27140124,신서동
27140125,동내동
27140126,괴전동
27140127,금강동
27140128,대림동
27140129,사복동
27140130,숙천동
27140131,내곡동
27140132,능성동
27140133,진인동
27140134,도학동
27140135,백안동
27140136,미곡동
27140137,용수동
27140138,신무동
27140139,미대동
27140140,내동
27140141,신용동
27140142,중대동
27140143,송정동
27140144,덕곡동
27140145,지묘동
27170000,서구
27170101,내당동
27170102,비산동
27170103,평리동
27170104,상리동
27170105,중리동
27170106,이현동
27170107,원대동1가
27170108,원대동2가
27170109,원대동3가
27200000,남구
27200101,이천동
27200102,봉덕동
27200103,대명동
27230000,북구
27230101,칠성동1가
27230102,칠성동2가
27230103,고성동1가
27230104,고성동2가
27230105,고성동3가
27230106,침산동
27230107,노원동1가
27230108,노원동2가
27230109,노원동3가
27230110,대현동
27230111,산격동
27230112,복현동
27230113,검단동
27230114,동변동
27230115,서변동
27230116,조야동
27230117,노곡동
27230118,읍내동
27230119,동호동
27230120,학정동
27230121,도남동
27230122,국우동
27230123,구암동
27230124,동천동
27230125,관음동
27230126,태전동
27230127,매천동
27230128,팔달동
27230129,금호동
27230130,사수동
27230131,연경동
27260000,수성구
27260101,범어동
27260102,만촌동
27260103,수성동1가
27260104,수성동2가
27260105,수성동3가
27260106,수성동4가
27260107,황금동
27260108,중동
27260109,상동
27260110,파동
27260111,두산동
27260112,지산동
27260113,범물동
27260114,시지동
27260115,매호동
27260116,성동
27260117,사월동
27260118,신매동
27260119,욱수동
27260120,노변동
27260122,삼덕동
27260123,연호동
27260124,이천동
27260125,고모동
27260126,가천동
27260127,대흥동
27290000,달서구
27290101,성당동
27290102,두류동
27290104,파호동
27290105,호림동
27290106,갈산동
27290107,신당동
27290108,이곡동
27290109,장동
27290110,장기동
27290111,용산동
27290112,죽전동
27290113,감삼동
27290114,본리동
27290115,상인동
27290116,도원동
27290117,진천동
27290118,유천동
27290119,대천동
27290120,월성동
27290121,월암동
27290122,송현동
27290123,대곡동
27290124,본동
27290125,호산동
27710000,달성군
27710250,화원읍
27710250,천내리
27710250,구라리
27710250,성산리
27710250,설화리
27710250,명곡리
27710250,본리리
27710253,논공읍
27710253,노이리
27710253,금포리
27710253,삼리리
27710253,위천리
27710253,상리
27710253,하리
27710253,남리
27710253,북리
27710253,본리리
27710256,다사읍
27710256,이천리
27710256,달천리
27710256,박곡리
27710256,방천리
27710256,서재리
27710256,세천리
27710256,죽곡리
27710256,매곡리
27710256,부곡리
27710256,문양리
27710256,문산리
27710259,유가읍
27710259,음리
27710259,양리
27710259,용리
27710259,봉리
27710259,쌍계리
27710259,초곡리
27710259,상리
27710259,금리
27710259,유곡리
27710259,도의리
27710259,가태리
27710259,한정리
27710259,본말리
27710262,옥포읍
27710262,신당리
27710262,교항리
27710262,강림리
27710262,송촌리
27710262,간경리
27710262,기세리
27710262,반송리
27710262,김흥리
27710262,본리리
27710265,현풍읍
27710265,상리
27710265,중리
27710265,부리
27710265,하리
27710265,성하리
27710265,원교리
27710265,자모리
27710265,오산리
27710265,지리
27710265,대리
27710265,신기리
27710310,가창면
27710310,용계리
27710310,오리
27710310,정대리
27710310,냉천리
27710310,행정리
27710310,상원리
27710310,단산리
27710310,대일리
27710310,주리
27710310,옥분리
27710310,삼산리
27710310,우록리
27710330,하빈면
27710330,하산리
27710330,묘리
27710330,기곡리
27710330,대평리
27710330,무등리
27710330,현내리
27710330,감문리
27710330,동곡리
27710330,봉촌리
27710380,구지면
27710380,창리
27710380,응암리
27710380,고봉리
27710380,가천리
27710380,평촌리
27710380,예현리
27710380,유산리
27710380,목단리
27710380,대암리
27710380,내리
27710380,화산리
27710380,수리리
27710380,징리
27710380,오설리
27710380,도동리
27720000,군위군
27720250,군위읍
27720250,동부리
27720250,서부리
27720250,금구리
27720250,무성리
27720250,수서리
27720250,사직리
27720250,내량리
27720250,외량리
27720250,삽령리
27720250,대북리
27720250,오곡리
27720250,정리
27720250,하곡리
27720250,용대리
27720250,상곡리
27720250,광현리
27720250,대흥리
27720310,소보면
27720310,사리리
27720310,보현리
27720310,복성리
27720310,위성리
27720310,달산리
27720310,송원리
27720310,신계리
27720310,도산리
27720310,서경리
27720310,평호리
27720310,산법리
27720310,내의리
27720310,봉황리
27720310,봉소리
27720320,효령면
27720320,노행리
27720320,오천리
27720320,성리
27720320,병수리
27720320,불로리
27720320,내리리
27720320,중구리
27720320,거매리
27720320,장군리
27720320,장기리
27720320,금매리
27720320,화계리
27720320,마시리
27720320,매곡리
27720320,고곡리
27720330,부계면
27720330,창평리
27720330,가호리
27720330,춘산리
27720330,대율리
27720330,동산리
27720330,남산리
27720330,명산리
27720330,신화리
27720340,우보면
27720340,나호리
27720340,이화리
27720340,두북리
27720340,선곡리
27720340,미성리
27720340,모산리
27720340,문덕리
27720340,달산리
27720340,봉산리
27720350,의흥면
27720350,읍내리
27720350,수북리
27720350,수서리
27720350,이지리
27720350,파전리
27720350,신덕리
27720350,지호리
27720350,연계리
27720350,매성리
27720350,원산리
27720350,금양리
27720360,산성면
27720360,백학리
27720360,삼산리
27720360,봉림리
27720360,무암리
27720360,운산리
27720360,화본리
27720360,화전리
27720370,삼국유사면
27720370,화수리
27720370,화북리
27720370,괴산리
27720370,학성리
27720370,장곡리
27720370,인곡리
27720370,양지리
27720370,낙전리
27720370,가암리
27720370,석산리
27720370,학암리
28000000,인천광역시
28110000,중구
28110101,중앙동1가
28110102,중앙동2가
28110103,중앙동3가
28110104,중앙동4가
28110105,해안동1가
28110106,해안동2가
28110107,해안동3가
28110108,해안동4가
28110109,관동1가
28110110,관동2가
28110111,관동3가
28110112,항동1가
28110113,항동2가
28110114,항동3가
28110115,항동4가
28110116,항동5가
28110117,항동6가
28110118,항동7가
28110119,송학동1가
28110120,송학동2가
28110121,송학동3가
28110122,사동
28110123,신생동
28110124,신포동
28110125,답동
28110126,신흥동1가
28110127,신흥동2가
28110128,신흥동3가
28110129,선화동
28110130,유동
28110131,율목동
28110132,도원동
28110133,내동
28110134,경동
28110135,용동
28110136,인현동
28110137,전동
28110138,북성동1가
28110139,북성동2가
28110140,북성동3가
28110141,선린동
28110142,송월동1가
28110143,송월동2가
28110144,송월동3가
28110145,중산동
28110146,운남동
28110147,운서동
28110148,운북동
28110149,을왕동
28110150,남북동
28110151,덕교동
28110152,무의동
28140000,동구
28140101,만석동
28140102,화수동
28140103,송현동
28140104,화평동
28140105,창영동
28140106,금곡동
28140107,송림동
28177000,미추홀구
28177101,숭의동
28177102,용현동
28177103,학익동
28177104,도화동
28177105,주안동
28177106,관교동
28177107,문학동
28185000,연수구
28185101,옥련동
28185102,선학동
28185103,연수동
28185104,청학동
28185105,동춘동
28185106,송도동
