station_code,stationName
41550110,창전동
51170101,천곡동
44130000,천안시
41111133,천천동
41210102,철산동
51780000,철원(DMZ)
51780000,철원군
48125154,청계동
47820000,청도군
41220126,청룡동
47111105,청림동
41220259,청북읍
47750000,청송군
47750250,청송읍
44790000,청양군
44790250,청양읍
43110000,청주시
43760360,청천면
46790330,청풍면
51210105,청학동
51150112,초당동
26170101,초량동
41273107,초지동
51110000,춘천시
52140420,춘포면
43130000,충주시
29140120,치평동
47850000,칠곡군
43130116,칠금동
30140122,침산동
44150320,탄천면
51190000,태백시
44825000,태안군
44825250,태안읍
46230109,태인동
41610110,태전동
47940310,태하리
48220000,통영시
46730330,파도리
41480000,파주
41480000,파주시
41480253,파주읍
52140127,팔봉동
47130127,평동
41113130,평리동
51760000,평창군
51760250,평창읍
41220000,평택시
41650000,포천시
47110000,포항시
41450000,하남시
48850000,하동군
48850250,하동읍
47290250,하양읍
26530107,학장동
50110250,한림읍
36110106,한솔동
48730000,함안군
48870000,함양군
48870250,함양읍
52140250,함열읍
46860000,함평군
46860250,함평읍
44270250,합덕읍
48890000,합천군
48890250,합천읍
46820000,해남군
46820250,해남읍
26350000,해운대구
41281128,행신동
41590259,향남읍
48240116,향촌동
47190109,형곡동
46150310,호두리
27290105,호림동
43130107,호암동
44800000,홍성군
44800250,홍성읍
51720000,홍천군
51720250,홍천읍
41360256,화도읍
26320102,화명동
47250420,화북면
52790250,화산리
41590000,화성시
46790000,화순군
46790250,화순읍
46130330,화양면
47820250,화양읍
27710250,화원읍
51790000,화천(DMZ)
51790000,화천군
51790250,화천읍
43740320,황간면
51190101,황지동
26410112,회동동
48127108,회원동
51730000,횡성군
51730250,횡성읍
31200123,효문동
51110112,효자동
44000000,충청남도
43000000,충청북도
42000000,강원도
41000000,경기도
48000000,경상남도
47000000,경상북도
27000000,대구광역시
30000000,대전직할시
26000000,부산광역시
11000000,서울특별시
36000000,세종
36000000,세종시
31000000,울산광역시
28000000,인천광역시
46000000,전라남도
45000000,전북특별자치도
29170140,건국동
47111310,3공단
47190256,4공단
46910360,가거도
11000000,강남대로
11200000,강변북로
28260000,검단
44825330,격렬비열도
41115141,경수대로(동수원)
28260119,경인항
41360000,경춘로
28245000,계산
41630000,고읍
28200000,고잔
41610259,곤지암
11500105,공항대로
41117000,광교동
26110000,광복동
46230250,광양 율촌
46230000,광양 중마
46230000,광양항
52130000,군산항
41370000,금암로(신장동)
43770253,금왕
28710330,길상
48250000,김해대로
27110000,남산1동
46840256,남악.오룡
42230000,남양동1
44800256,내포
52000000,노송동
50110000,노형로
28200000,논현
44270000,당진시청사
41273000,대부동
46830253,대불
44210250,대산항
31170000,대송동
41135108,대왕판교로(백현동)
26440000,대저동
44180000,대천2동
25140000,대흥동1
28720350,덕적도
11680000,도산대로
41310000,동구동
11590910,동작대로 중앙차로
28185000,동춘
41590000,동탄
42170000,동해항
48123000,마산항
52130390,말도
52000000,모현동
46830253,목포항
42170000,묵호항
41450000,미사
48121000,반송로
28720330,백령도
41285000,백마로(마두역)
47130000,보덕동
44180320,보령항
47920250,봉화군청
41430000,부곡3동
41271000,부곡동1
26290000,부산감만
26170000,부산북항
48129000,부산항
28000000,부평역
31110111,북부순환도로
31140106,산업로
28237000,삼산
46130000,삼일동
48125320,삼진로
42230000,삼척항
48240116,삼천포항
52000000,새만금
46130000,서강동
28000000,서창
28000000,서해
41390000,서해안로
28260000,석남
28177000,석바위
41131000,성남대로(모란역)
25110000,성남동1
52000000,소룡동2
41190000,송내대로(중동)
28185000,송도
28140000,송림
41220000,송북동
41150000,송산3동
28710390,송해
28140000,송현
46150000,순천만
28177000,숭의
41390000,시화산단
11545102,시흥대로
46150310,신대
42110000,신사우동
31140000,신정로
11440110,신촌로
52000000,신태인
28110000,신흥
28000000,아암
46870380,안마도
41171000,안양2동
41171000,안양8동
41220253,안중
46130000,여수항
28720380,연평도
28260000,연희
11560000,영등포로
28000000,영종
28000000,영흥
41610250,오포1동
42150350,옥계항
48310000,옥포항
44180320,외연도
28110000,운서
41480000,운정
28720350,울도
31140000,울산항
28260000,원당
41150000,의정부1동
28000000,인천광역시 남항
28000000,인천광역시 북항
28000000,인천광역시 신항
28110118,인천광역시항
28000000,임학
47113000,장량동
44770250,장항항
41800253,전곡
11290103,정릉로
50110000,제주항
47111000,제철동
28000000,주안
41190000,중2동
28000000,중봉
41463102,중부대로(구갈동)
41273000,중앙대로(고잔동)
42110000,중앙로
47190000,진미동
11740000,천호대로
11140000,청계천로
28260000,청라
27200000,충혼탑
42730380,치악산
44825350,태안항
26200000,태종대
52000000,팔복동
44270380,평택당진항
44270253,평택당진항(당진항)
41220256,평택항
47150000,평화남산동
47111000,포항항
48850420,하동항
11170000,한강대로
41570000,한강로
41570256,한강신도시
52000000,혁신동
41173000,호계3동
41113000,호매실
42230253,호산항
41273000,호수동
46910360,홍도
11230000,홍릉로
11350000,화랑로
50110111,화북동
28000000,효성
